"Time","dpc","interrupt","privileged","user"
2024-03-03 18:30:45,0,0,0.469,0.977
2024-03-03 18:31:00,0,0.0195,0.800,2.01
2024-03-03 18:31:15,0.0196,0,0.686,1.02
2024-03-03 18:31:30,0,0,1.02,1.25
2024-03-03 18:31:45,0.0195,0.0195,0.566,0.820
2024-03-03 18:32:00,0,0.0392,0.901,1.72
2024-03-03 18:32:15,0.234,1.56,22.5,45.2
2024-03-03 18:32:30,0.176,1.93,22.6,44.2
2024-03-03 18:32:45,0,0,0.527,1.11
2024-03-03 18:33:00,0,0,2.65,4.70
2024-03-03 18:33:15,0,0,0.625,1.07
2024-03-03 18:33:30,0.0195,0,0.663,1.35
2024-03-03 18:33:45,0.0195,0,0.860,1.21
2024-03-03 18:34:00,0,0,0.855,2.58
2024-03-03 18:34:15,0,0.0196,0.627,1.45
2024-03-03 18:34:30,0,0,0.860,1.33
2024-03-03 18:34:45,0.0196,0,0.568,1.80
2024-03-03 18:35:00,0.0196,0.0196,0.822,1.41
2024-03-03 18:35:15,0.0586,0.449,7.72,15.9
2024-03-03 18:35:30,0.215,1.76,21.6,52.9
2024-03-03 18:35:45,0.0977,1.09,14.8,33.9
2024-03-03 18:36:00,0.0196,0,0.882,1.51
2024-03-03 18:36:15,0,0.0391,0.489,0.665
2024-03-03 18:36:30,0,0.0196,0.685,2.48
2024-03-03 18:36:45,0,0.0195,0.585,0.955
2024-03-03 18:37:00,0,0,0.840,1.39
2024-03-03 18:37:15,0,0,0.469,0.841
2024-03-03 18:37:30,0,0,0.997,2.21
2024-03-03 18:37:45,0,0,0.568,0.881
2024-03-03 18:38:00,0,0.0391,0.939,1.80
2024-03-03 18:38:15,0.0195,0,0.605,0.800
2024-03-03 18:38:30,0.274,1.93,23.8,58.9
2024-03-03 18:38:45,0.176,2.37,24.4,55.6
2024-03-03 18:39:00,0.0195,0.0195,2.07,1.56
2024-03-03 18:39:15,0,0,0.351,1.07
2024-03-03 18:39:30,0,0.0195,2.48,1.56
2024-03-03 18:39:45,0,0,0.353,1.37
2024-03-03 18:40:00,0,0.0195,1.83,1.42
2024-03-03 18:40:15,0,0,0.605,1.17
2024-03-03 18:40:30,0.0391,0,0.880,1.94
2024-03-03 18:40:45,0,0,0.411,0.900
2024-03-03 18:41:00,0,0.0391,1.17,1.48
2024-03-03 18:41:15,0.0195,0,0.605,1.31
2024-03-03 18:41:30,0.195,2.25,23.7,53.3
2024-03-03 18:41:45,0.0976,2.03,25.1,57.8
2024-03-03 18:42:00,0,0.0195,1.15,1.62
2024-03-03 18:42:15,0,0,0.535,0.932
2024-03-03 18:42:30,0,0,0.939,2.43
2024-03-03 18:42:45,0.0195,0.0195,0.547,0.996
2024-03-03 18:43:00,0,0,1.09,2.16
