scenario,params_qos,params_clients,params_message_size,duration,step_name,request_count,ok,failed,received,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min,data_transfer_mean,data_transfer_max,data_transfer_all,start_date_time,test_build_time,test_init_start_time,test_init_end_time,test_clean_start_time,test_clean_end_time
benchmark-qos0-mosquitto-host-32cl,0,32,256,00:00:30,publish,1538117,1538117,0,1185242,51270.6,0,0.6,132.99,0.02,0.03,1.04,19.06,3.53,256,256,256,393757952,2024-03-13T00:30:39,2024-03-13T00:30:39,2024-03-13T00:30:39,2024-03-13T00:30:44,2024-03-13T00:31:19,2024-03-13T00:31:40
benchmark-qos0-activemq-host-64cl,0,64,256,00:00:30,publish,481188,481188,0,340105,16039.6,0,4.02,3419.25,0.02,0.03,0.58,19.98,67.46,256,256,256,123184128,2024-03-13T00:31:40,2024-03-13T00:31:40,2024-03-13T00:31:40,2024-03-13T00:31:45,2024-03-13T00:32:21,2024-03-13T00:32:53
benchmark-qos0-aedes-host-64cl,0,64,256,00:00:30,publish,672179,672179,0,672179,22406,0,3.01,6495.38,0.02,0.03,0.64,15.88,122.59,256,256,256,172077824,2024-03-13T00:32:54,2024-03-13T00:32:54,2024-03-13T00:32:54,2024-03-13T00:32:59,2024-03-13T00:33:36,2024-03-13T00:34:01
benchmark-qos0-emqx-host-64cl,0,64,256,00:00:30,publish,2235833,2235833,0,3990,74527.8,0,0.83,131.07,0.02,0.03,2.67,21.86,4.43,256,256,256,572373248,2024-03-13T00:34:01,2024-03-13T00:34:01,2024-03-13T00:34:01,2024-03-13T00:34:06,2024-03-13T00:34:41,2024-03-13T00:35:02
benchmark-qos0-mosquitto-host-64cl,0,64,256,00:00:30,publish,2039504,2039504,0,857831,67983.5,0,0.92,129.72,0.02,0.03,2.09,27.1,5.17,256,256,256,522113024,2024-03-13T00:35:03,2024-03-13T00:35:03,2024-03-13T00:35:03,2024-03-13T00:35:08,2024-03-13T00:35:43,2024-03-13T00:36:04
benchmark-qos0-activemq-host-128cl,0,128,256,00:00:30,publish,601684,601684,0,308441,20056.1,0,6.71,3151.31,0.02,0.03,1.21,58.82,90.42,256,256,256,154031104,2024-03-13T00:36:04,2024-03-13T00:36:04,2024-03-13T00:36:04,2024-03-13T00:36:09,2024-03-13T00:36:46,2024-03-13T00:37:32
benchmark-qos0-aedes-host-128cl,0,128,256,00:00:30,publish,747807,747807,0,747807,24926.9,0,5.05,9692.5,0.02,0.03,2.04,25.1,164.77,256,256,256,191438592,2024-03-13T00:37:32,2024-03-13T00:37:32,2024-03-13T00:37:32,2024-03-13T00:37:37,2024-03-13T00:38:12,2024-03-13T00:38:47
benchmark-qos0-emqx-host-128cl,0,128,256,00:00:30,publish,2412350,2412350,0,1195,80411.7,0,1.56,282.98,0.02,0.03,2.82,40.99,9.61,256,256,256,617561600,2024-03-13T00:38:47,2024-03-13T00:38:47,2024-03-13T00:38:47,2024-03-13T00:38:53,2024-03-13T00:39:28,2024-03-13T00:39:49
benchmark-qos0-mosquitto-host-128cl,0,128,256,00:00:30,publish,2403474,2403474,0,801163,80115.8,0,1.56,302.23,0.02,0.03,1.93,44.06,9.99,256,256,256,615289344,2024-03-13T00:39:49,2024-03-13T00:39:49,2024-03-13T00:39:49,2024-03-13T00:39:54,2024-03-13T00:40:29,2024-03-13T00:40:50
benchmark-qos0-activemq-host-256cl,0,256,256,00:00:30,publish,851529,851529,0,321595,28384.3,0,9.16,6466.42,0.02,0.03,3.27,60.16,132.09,256,256,256,217991424,2024-03-13T00:40:50,2024-03-13T00:40:50,2024-03-13T00:40:50,2024-03-13T00:40:56,2024-03-13T00:41:35,2024-03-13T00:42:20
benchmark-qos0-aedes-host-256cl,0,256,256,00:00:30,publish,1089317,1089317,0,67124,36310.6,0,7.47,17019.71,0.02,0.03,5.64,41.76,262.86,256,256,256,278865152,2024-03-13T00:42:21,2024-03-13T00:42:21,2024-03-13T00:42:21,2024-03-13T00:42:26,2024-03-13T00:43:04,2024-03-13T00:43:25
benchmark-qos0-emqx-host-256cl,0,256,256,00:00:30,publish,2508560,2508560,0,2594,83618.7,0,3,1195.25,0.02,0.03,2.12,80.58,24.7,256,256,256,642191360,2024-03-13T00:43:25,2024-03-13T00:43:25,2024-03-13T00:43:25,2024-03-13T00:43:31,2024-03-13T00:44:06,2024-03-13T00:44:27
benchmark-qos0-mosquitto-host-256cl,0,256,256,00:00:30,publish,2526669,2526669,0,744530,84222.3,0,2.99,1217.15,0.02,0.03,1.6,83.65,24.32,256,256,256,646827264,2024-03-13T00:44:27,2024-03-13T00:44:27,2024-03-13T00:44:27,2024-03-13T00:44:32,2024-03-13T00:45:07,2024-03-13T00:45:29
benchmark-qos1-activemq-host-1cl,1,1,256,00:00:30,publish,100035,100035,0,100035,3334.5,0.16,0.28,9.11,0.29,0.31,0.34,0.36,0.09,256,256,256,25608960,2024-03-13T00:45:29,2024-03-13T00:45:29,2024-03-13T00:45:29,2024-03-13T00:45:34,2024-03-13T00:46:08,2024-03-13T00:46:29
benchmark-qos1-aedes-host-1cl,1,1,256,00:00:30,publish,99386,99386,0,99386,3312.9,0.16,0.29,32.92,0.29,0.3,0.35,0.45,0.13,256,256,256,25442816,2024-03-13T00:46:29,2024-03-13T00:46:29,2024-03-13T00:46:29,2024-03-13T00:46:34,2024-03-13T00:47:09,2024-03-13T00:47:30
benchmark-qos1-emqx-host-1cl,1,1,256,00:00:30,publish,101434,101434,0,101434,3381.1,0.2,0.28,6.65,0.28,0.3,0.34,0.84,0.11,256,256,256,25967104,2024-03-13T00:47:30,2024-03-13T00:47:30,2024-03-13T00:47:31,2024-03-13T00:47:36,2024-03-13T00:48:10,2024-03-13T00:48:31
benchmark-qos1-mosquitto-host-1cl,1,1,256,00:00:30,publish,103082,103082,0,103082,3436.1,0.13,0.28,7.94,0.27,0.3,0.34,0.35,0.08,256,256,256,26388992,2024-03-13T00:48:31,2024-03-13T00:48:31,2024-03-13T00:48:31,2024-03-13T00:48:36,2024-03-13T00:49:11,2024-03-13T00:49:32
benchmark-qos1-activemq-host-2cl,1,2,256,00:00:30,publish,122435,122435,0,122435,4081.2,0.16,0.47,10.36,0.34,0.67,0.77,0.83,0.24,256,256,256,31343360,2024-03-13T00:49:32,2024-03-13T00:49:32,2024-03-13T00:49:32,2024-03-13T00:49:37,2024-03-13T00:50:12,2024-03-13T00:50:34
benchmark-qos1-aedes-host-2cl,1,2,256,00:00:30,publish,111825,111825,0,111825,3727.5,0.21,0.52,10.53,0.43,0.72,0.81,0.89,0.25,256,256,256,28627200,2024-03-13T00:50:34,2024-03-13T00:50:34,2024-03-13T00:50:34,2024-03-13T00:50:39,2024-03-13T00:51:14,2024-03-13T00:51:35
benchmark-qos1-emqx-host-2cl,1,2,256,00:00:30,publish,171687,171687,0,171687,5722.9,0.18,0.34,8.2,0.31,0.35,0.43,0.87,0.15,256,256,256,43951872,2024-03-13T00:51:35,2024-03-13T00:51:35,2024-03-13T00:51:35,2024-03-13T00:51:40,2024-03-13T00:52:15,2024-03-13T00:52:36
benchmark-qos1-mosquitto-host-2cl,1,2,256,00:00:30,publish,129933,129933,0,129933,4331.1,0.14,0.45,10.24,0.33,0.63,0.74,0.78,0.24,256,256,256,33262848,2024-03-13T00:52:36,2024-03-13T00:52:36,2024-03-13T00:52:36,2024-03-13T00:52:41,2024-03-13T00:53:17,2024-03-13T00:53:38
benchmark-qos1-activemq-host-4cl,1,4,256,00:00:30,publish,137049,137049,0,137049,4568.3,0.15,0.85,10.24,1.02,1.11,1.22,1.3,0.41,256,256,256,35084544,2024-03-13T00:53:38,2024-03-13T00:53:38,2024-03-13T00:53:38,2024-03-13T00:53:43,2024-03-13T00:54:18,2024-03-13T00:54:39
benchmark-qos1-aedes-host-4cl,1,4,256,00:00:30,publish,147048,147048,0,147048,4901.6,0.21,0.79,10.57,0.81,1.02,1.23,1.36,0.33,256,256,256,37644288,2024-03-13T00:54:39,2024-03-13T00:54:39,2024-03-13T00:54:39,2024-03-13T00:54:44,2024-03-13T00:55:19,2024-03-13T00:55:40
benchmark-qos1-emqx-host-4cl,1,4,256,00:00:30,publish,291919,291919,0,291919,9730.6,0.19,0.4,8.52,0.37,0.42,0.55,1.09,0.22,256,256,256,74731264,2024-03-13T00:55:40,2024-03-13T00:55:40,2024-03-13T00:55:41,2024-03-13T00:55:46,2024-03-13T00:56:21,2024-03-13T00:56:42
benchmark-qos1-mosquitto-host-4cl,1,4,256,00:00:30,publish,136466,136466,0,136466,4548.9,0.14,0.86,10.65,1.04,1.13,1.23,1.31,0.42,256,256,256,34935296,2024-03-13T00:56:42,2024-03-13T00:56:42,2024-03-13T00:56:42,2024-03-13T00:56:47,2024-03-13T00:57:22,2024-03-13T00:57:43
benchmark-qos1-activemq-host-8cl,1,8,256,00:00:30,publish,155839,155839,0,155839,5194.6,0.15,1.51,10.37,1.79,1.9,2.07,2.26,0.68,256,256,256,39894784,2024-03-13T00:57:43,2024-03-13T00:57:43,2024-03-13T00:57:43,2024-03-13T00:57:48,2024-03-13T00:58:23,2024-03-13T00:58:44
benchmark-qos1-aedes-host-8cl,1,8,256,00:00:30,publish,193554,193554,0,193554,6451.8,0.21,1.21,17.99,1.2,1.41,1.6,1.97,0.4,256,256,256,49549824,2024-03-13T00:58:45,2024-03-13T00:58:45,2024-03-13T00:58:45,2024-03-13T00:58:50,2024-03-13T00:59:25,2024-03-13T00:59:46
benchmark-qos1-emqx-host-8cl,1,8,256,00:00:30,publish,470626,470626,0,348291,15687.5,0.18,0.49,18.9,0.43,0.51,0.7,2.3,0.46,256,256,256,120480256,2024-03-13T00:59:46,2024-03-13T00:59:46,2024-03-13T00:59:46,2024-03-13T00:59:51,2024-03-13T01:00:26,2024-03-13T01:00:47
benchmark-qos1-mosquitto-host-8cl,1,8,256,00:00:30,publish,161235,161235,0,161235,5374.5,0.13,1.46,10.73,1.72,1.82,1.98,2.22,0.66,256,256,256,41276160,2024-03-13T01:00:48,2024-03-13T01:00:48,2024-03-13T01:00:48,2024-03-13T01:00:53,2024-03-13T01:01:28,2024-03-13T01:01:49
benchmark-qos1-activemq-host-16cl,1,16,256,00:00:30,publish,226819,226819,0,226819,7560.6,0.15,2.07,11.65,1.86,3.41,3.76,4.72,1.25,256,256,256,58065664,2024-03-13T01:01:49,2024-03-13T01:01:49,2024-03-13T01:01:49,2024-03-13T01:01:54,2024-03-13T01:02:29,2024-03-13T01:02:50
benchmark-qos1-aedes-host-16cl,1,16,256,00:00:30,publish,200125,200125,0,200125,6670.8,0.21,2.35,13.57,2.38,2.64,2.83,4.44,0.59,256,256,256,51232000,2024-03-13T01:02:50,2024-03-13T01:02:50,2024-03-13T01:02:50,2024-03-13T01:02:55,2024-03-13T01:03:30,2024-03-13T01:03:52
benchmark-qos1-emqx-host-16cl,1,16,256,00:00:30,publish,973765,973765,0,29890,32458.8,0.18,0.47,18.34,0.37,0.43,0.61,3.93,0.67,256,256,256,249283840,2024-03-13T01:03:52,2024-03-13T01:03:52,2024-03-13T01:03:52,2024-03-13T01:03:57,2024-03-13T01:04:32,2024-03-13T01:04:53
benchmark-qos1-mosquitto-host-16cl,1,16,256,00:00:30,publish,208985,208985,0,208985,6966.2,0.14,2.25,13.55,1.91,3.47,3.74,4.69,1.35,256,256,256,53500160,2024-03-13T01:04:53,2024-03-13T01:04:53,2024-03-13T01:04:53,2024-03-13T01:04:58,2024-03-13T01:05:33,2024-03-13T01:05:54
benchmark-qos1-activemq-host-32cl,1,32,256,00:00:30,publish,581400,581400,0,581400,19380,0.14,1.61,15.3,1.42,2.07,3.62,6.77,1.3,256,256,256,148838400,2024-03-13T01:05:55,2024-03-13T01:05:55,2024-03-13T01:05:55,2024-03-13T01:06:00,2024-03-13T01:06:35,2024-03-13T01:06:56
benchmark-qos1-aedes-host-32cl,1,32,256,00:00:30,publish,202875,202875,0,202875,6762.5,0.22,4.65,15.13,4.74,4.99,5.34,8.2,0.95,256,256,256,51936000,2024-03-13T01:06:56,2024-03-13T01:06:56,2024-03-13T01:06:56,2024-03-13T01:07:01,2024-03-13T01:07:36,2024-03-13T01:07:57
benchmark-qos1-emqx-host-32cl,1,32,256,00:00:30,publish,1257575,1257575,0,18818,41919.2,0.19,0.73,25.78,0.52,0.64,1.05,6.09,1.07,256,256,256,321939200,2024-03-13T01:07:57,2024-03-13T01:07:57,2024-03-13T01:07:57,2024-03-13T01:08:03,2024-03-13T01:08:38,2024-03-13T01:08:59
benchmark-qos1-mosquitto-host-32cl,1,32,256,00:00:30,publish,810198,810198,0,588869,27006.6,0.13,1.15,16.47,1.03,1.36,2.49,6.21,1.11,256,256,256,207410688,2024-03-13T01:08:59,2024-03-13T01:08:59,2024-03-13T01:08:59,2024-03-13T01:09:04,2024-03-13T01:09:39,2024-03-13T01:10:00
benchmark-qos1-activemq-host-64cl,1,64,256,00:00:30,publish,1416155,1416155,0,1416155,47205.2,0.16,1.31,31.17,0.89,1.22,6.24,10.78,2.03,256,256,256,362535680,2024-03-13T01:10:00,2024-03-13T01:10:00,2024-03-13T01:10:00,2024-03-13T01:10:05,2024-03-13T01:10:41,2024-03-13T01:11:02
benchmark-qos1-aedes-host-64cl,1,64,256,00:00:30,publish,224449,224449,0,224449,7481.6,0.21,8.43,36.06,9.41,10.28,13.22,16.66,3.68,256,256,256,57458944,2024-03-13T01:11:02,2024-03-13T01:11:02,2024-03-13T01:11:02,2024-03-13T01:11:07,2024-03-13T01:11:42,2024-03-13T01:12:03
benchmark-qos1-emqx-host-64cl,1,64,256,00:00:30,publish,1314074,1314074,0,10049,43802.5,0.22,1.42,26.96,1,1.27,5.79,9.62,1.71,256,256,256,336402944,2024-03-13T01:12:03,2024-03-13T01:12:03,2024-03-13T01:12:03,2024-03-13T01:12:08,2024-03-13T01:12:44,2024-03-13T01:13:05
benchmark-qos1-mosquitto-host-64cl,1,64,256,00:00:30,publish,1174586,1174586,0,381256,39152.9,0.14,1.59,24.14,1.38,1.62,6.02,9.68,1.72,256,256,256,300694016,2024-03-13T01:13:05,2024-03-13T01:13:05,2024-03-13T01:13:05,2024-03-13T01:13:10,2024-03-13T01:13:45,2024-03-13T01:14:06
benchmark-qos1-activemq-host-128cl,1,128,256,00:00:30,publish,1257242,1257242,0,1257242,41908.1,0.16,2.98,37.98,2.21,2.8,10.86,15.79,3.4,256,256,256,321853952,2024-03-13T01:14:06,2024-03-13T01:14:06,2024-03-13T01:14:06,2024-03-13T01:14:12,2024-03-13T01:14:47,2024-03-13T01:15:08
benchmark-qos1-aedes-host-128cl,1,128,256,00:00:30,publish,240894,240894,0,240894,8029.8,0.22,15.71,76.55,18.26,21.74,27.62,34.43,8.78,256,256,256,61668864,2024-03-13T01:15:08,2024-03-13T01:15:08,2024-03-13T01:15:08,2024-03-13T01:15:13,2024-03-13T01:15:48,2024-03-13T01:16:09
benchmark-qos1-emqx-host-128cl,1,128,256,00:00:30,publish,1319757,1319757,0,9290,43991.9,0.21,2.84,32.4,1.87,2.59,10.64,14.77,3.13,256,256,256,337857792,2024-03-13T01:16:09,2024-03-13T01:16:09,2024-03-13T01:16:09,2024-03-13T01:16:15,2024-03-13T01:16:50,2024-03-13T01:17:11
benchmark-qos1-mosquitto-host-128cl,1,128,256,00:00:30,publish,1408576,1408576,0,186788,46952.5,0.16,2.66,35.54,1.74,2.19,10.58,14.77,3.19,256,256,256,360595456,2024-03-13T01:17:11,2024-03-13T01:17:11,2024-03-13T01:17:11,2024-03-13T01:17:16,2024-03-13T01:17:51,2024-03-13T01:18:12
benchmark-qos1-activemq-host-256cl,1,256,256,00:00:30,publish,1137317,1137317,0,1137317,37910.6,0.17,6.64,82.81,4.32,9.25,21.2,26.51,7.13,256,256,256,291153152,2024-03-13T01:18:13,2024-03-13T01:18:13,2024-03-13T01:18:13,2024-03-13T01:18:18,2024-03-13T01:18:53,2024-03-13T01:19:14
benchmark-qos1-aedes-host-256cl,1,256,256,00:00:30,publish,236064,236064,0,236064,7868.8,0.23,32.11,122.56,34.53,47.07,58.05,68.8,17.94,256,256,256,60432384,2024-03-13T01:19:14,2024-03-13T01:19:14,2024-03-13T01:19:14,2024-03-13T01:19:20,2024-03-13T01:19:55,2024-03-13T01:20:16
benchmark-qos1-emqx-host-256cl,1,256,256,00:00:30,publish,1210128,1210128,0,7133,40337.6,0.21,6.23,80.62,3.36,6.29,19.33,23.84,6.4,256,256,256,309792768,2024-03-13T01:20:16,2024-03-13T01:20:16,2024-03-13T01:20:16,2024-03-13T01:20:21,2024-03-13T01:20:57,2024-03-13T01:21:18
benchmark-qos1-mosquitto-host-256cl,1,256,256,00:00:30,publish,1260314,1260314,0,103485,42010.5,0.24,5.97,50.12,2.82,5.6,19.36,23.81,6.42,256,256,256,322640384,2024-03-13T01:21:18,2024-03-13T01:21:18,2024-03-13T01:21:18,2024-03-13T01:21:23,2024-03-13T01:21:58,2024-03-13T01:22:20
benchmark-qos2-activemq-host-1cl,2,1,256,00:00:30,publish,57281,57281,0,57281,1909.4,0.3,0.5,8.3,0.51,0.55,0.6,0.68,0.1,256,256,256,14663936,2024-03-13T01:22:20,2024-03-13T01:22:20,2024-03-13T01:22:20,2024-03-13T01:22:25,2024-03-13T01:23:00,2024-03-13T01:23:21
benchmark-qos2-aedes-host-1cl,2,1,256,00:00:30,publish,38646,38646,0,38646,1288.2,0.55,0.75,3.96,0.74,0.77,0.84,0.98,0.09,256,256,256,9893376,2024-03-13T01:23:21,2024-03-13T01:23:21,2024-03-13T01:23:21,2024-03-13T01:23:26,2024-03-13T01:24:01,2024-03-13T01:24:22
benchmark-qos2-emqx-host-1cl,2,1,256,00:00:30,publish,53532,53532,0,53532,1784.4,0.36,0.54,5.82,0.52,0.56,0.67,1.02,0.14,256,256,256,13704192,2024-03-13T01:24:22,2024-03-13T01:24:22,2024-03-13T01:24:22,2024-03-13T01:24:27,2024-03-13T01:25:02,2024-03-13T01:25:23
